shortname,url,amcert,longname,description,urn,cacert,type,category,speaksfor
gpo-ig-of,https://foam.instageni.gpolab.bbn.com:3626/foam/gapi/2,gpo-ig-of.pem,GPO InstaGENI OpenFlow,InstaGENI GPO Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.gpolab.bbn.com+authority+am,gpo-ig-of.pem,ui_foam_am,ui_dev_cat ui_network_cat,N
illinois-ig,https://instageni.illinois.edu:12369/protogeni/xmlrpc/am/2.0,illinois-ig-cm.pem,Illinois InstaGENI,Illinois InstaGENI Rack,urn:publicid:IDN+instageni.illinois.edu+authority+cm,illinois-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,N
illinois-ig-of,https://foam.instageni.illinois.edu:3626/foam/gapi/2,illinois-ig-of.pem,Illinois InstaGENI OpenFlow,Illinois InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.illinois.edu+authority+am,illinois-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
kansas-ig,https://instageni.ku.gpeni.net:12369/protogeni/xmlrpc/am/2.0,kansas-ig-cm.pem,Kansas InstaGENI,Kansas InstaGENI Rack,urn:publicid:IDN+instageni.ku.gpeni.net+authority+cm,kansas-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,N
kansas-ig-of,https://foam.instageni.ku.gpeni.net:3626/foam/gapi/2,kansas-ig-of.pem,Kansas InstaGENI OpenFlow,Kansas InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.ku.gpeni.net+authority+am,kansas-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
kettering-ig,https://boss.geni.kettering.edu:12369/protogeni/xmlrpc/am/2.0,kettering-ig-cm.pem,Kettering InstaGENI,InstaGENI Kettering Rack,urn:publicid:IDN+geni.kettering.edu+authority+cm,kettering-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat,N
kettering-ig-of,https://foam.geni.kettering.edu:3626/foam/gapi/2,kettering-ig-of.pem,Kettering InstaGENI OpenFlow,Kettering InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.geni.kettering.edu+authority+am,kettering-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
max,https://max-myplc.dragon.maxgigapop.net:12346,max.pem,MAX Regional Network,Mid-Atlantic Crossroads Regional Network,urn:publicid:IDN+dragon.maxgigapop.net+authority+am,max.pem,ui_other_am,ui_prod_cat ui_network_cat,N
max-ig,https://instageni.maxgigapop.net:12369/protogeni/xmlrpc/am/2.0,max-ig-cm.pem,MAX InstaGENI,MAX InstaGENI Rack,urn:publicid:IDN+instageni.maxgigapop.net+authority+cm,max-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,N
max-ig-of,https://foam.instageni.maxgigapop.net:3626/foam/gapi/2,max-ig-of.pem,MAX InstaGENI OpenFlow,MAX InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.maxgigapop.net+authority+am,max-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
missouri-ig,https://instageni.rnet.missouri.edu:12369/protogeni/xmlrpc/am/2.0,missouri-ig-cm.pem,Missouri InstaGENI,Missouri InstaGENI Rack,urn:publicid:IDN+instageni.rnet.missouri.edu+authority+cm,missouri-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,N
missouri-ig-of,https://foam.instageni.rnet.missouri.edu:3626/foam/gapi/2,missouri-ig-of.pem,Missouri InstaGENI OpenFlow,Missouri InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.rnet.missouri.edu+authority+am,missouri-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
northwestern-ig,https://boss.instageni.northwestern.edu:12369/protogeni/xmlrpc/am/2.0,northwestern-ig-cm.pem,Northwestern InstaGENI,InstaGENI Northwestern Rack,urn:publicid:IDN+instageni.northwestern.edu+authority+cm,northwestern-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat,N
nortwestern-ig-of,https://foam.instageni.northwestern.edu:3626/foam/gapi/2,northwestern-ig-of.pem,Northwestern InstaGENI OpenFlow,InstaGENI Northwestern Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.northwestern.edu+authority+am,northwestern-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
nysernet-ig,https://instageni.nysernet.org:12369/protogeni/xmlrpc/am/2.0,nysernet-ig-cm.pem,NYSERNet InstaGENI,NYSERNet InstaGENI Rack,urn:publicid:IDN+instageni.nysernet.org+authority+cm,nysernet-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,N
nysernet-ig-of,https://foam.instageni.nysernet.org:3626/foam/gapi/2,nysernet-ig-of.pem,NYSERNet InstaGENI OpenFlow,NYSERNet InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.nysernet.org+authority+am,nysernet-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
nysernet-of,https://foam.nysernet.org:3626/foam/gapi/2,nysernet-of.pem,NYSERNet OpenFlow,NYSERNet OpenFlow,urn:publicid:IDN+openflow:foam:foam.nysernet.org+authority+am,nysernet-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
nyu-ig,https://genirack.nyu.edu:12369/protogeni/xmlrpc/am/2.0,nyu-ig-cm.pem,NYU InstaGENI,NYU InstaGENI Rack,urn:publicid:IDN+genirack.nyu.edu+authority+cm,nyu-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat,N
nyu-ig-of,https://foam.genirack.nyu.edu:3626/foam/gapi/2,nyu-ig-of.pem,NYU InstaGENI OpenFlow,NYU InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.genirack.nyu.edu+authority+am,nyu-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
sl-of,https://sl-geni.northwestern.edu:3626/foam/gapi/2,sl-of.pem,Starlight OpenFlow,Starlight OpenFlow,urn:publicid:IDN+openflow:foam:sl-geni.northwestern.edu+authority+am,sl-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
sox-of,https://foam.sox.net:3626/foam/gapi/2,sox-of.pem,SoX OpenFlow,SoX OpenFlow,urn:publicid:IDN+openflow:foam:foam.sox.net+authority+am,sox-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
stanford-ig-cm,https://instageni.stanford.edu:12369/protogeni/xmlrpc/am/2.0,stanford-ig-cm.pem,Stanford InstaGENI,Stanford InstaGENI Rack,urn:publicid:IDN+instageni.stanford.edu+authority+cm,stanford-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,N
stanford-ig-of,https://foam.instageni.stanford.edu:3626/foam/gapi/2,stanford-ig-of.pem,Stanford InstaGENI OpenFlow,Stanford InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.stanford.edu+authority+am,stanford-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
uh-eg,https://uh-hn.exogeni.net:11443/orca/xmlrpc,uh-eg.pem,UH ExoGENI,ExoGENI University of Houston Rack,urn:publicid:IDN+exogeni.net:uhvmsite+authority+am,uh-exo.pem,ui_exogeni_am,ui_prod_cat ui_compute_cat,N
uky-pg,https://www.uky.emulab.net:12369/protogeni/xmlrpc/am/2.0,pg-uky-cm.pem,Kentucky ProtoGENI,ProtoGENI Kentucky AM,urn:publicid:IDN+uky.emulab.net+authority+cm,pg-uky-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,N
utah-ig,https://www.utah.geniracks.net:12369/protogeni/xmlrpc/am/2.0,utah-ig-cm.pem,Utah InstaGENI,InstaGENI Utah AM,urn:publicid:IDN+utah.geniracks.net+authority+cm,utah-ig-boss.pem,ui_instageni_am,ui_dev_cat ui_compute_cat ui_stitchable_cat,N
utah-ig-of,https://foam.utah.geniracks.net:3626/foam/gapi/2,utah-ig-of.pem,Utah InstaGENI OpenFlow,InstaGENI Utah Rack OpenFlow,urn:publicid:IDN+openflow:foam:ig-utah+authority+am,utah-ig-of.pem,ui_foam_am,ui_dev_cat ui_network_cat,N
utah-pg,https://www.emulab.net:12369/protogeni/xmlrpc/am/2.0,utah-pg.pem,Utah ProtoGENI,ProtoGENI Utah AM,urn:publicid:IDN+emulab.net+authority+cm,utah-pg.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,N
utahddc-ig,https://boss.utahddc.geniracks.net:12369/protogeni/xmlrpc/am/2.0,utahddc-ig-cm.pem,UtahDDC InstaGENI,InstaGENI Utah DDC Rack,urn:publicid:IDN+utahddc.geniracks.net+authority+cm,utahddc-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,N
utahddc-ig-of,https://foam.utahddc.geniracks.net:3626/foam/gapi/2,utahddc-ig-of.pem,UtahDDC InstaGENI OpenFlow,InstaGENI Utah DDC Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.utahddc.geniracks.net+authority+am,utahddc-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
wisconsin-ig,https://instageni.wisc.edu:12369/protogeni/xmlrpc/am/2.0,wisconsin-ig-cm.pem,Wisconsin InstaGENI,Wisconsin InstaGENI Rack,urn:publicid:IDN+instageni.wisc.edu+authority+cm,wisconsin-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,N
wisconsin-ig-of,https://foam.instageni.wisc.edu:3626/foam/gapi/2,wisconsin-ig-of.pem,Wisconsin InstaGENI OpenFlow,Wisconsin InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.wisc.edu+authority+am,wisconsin-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
